,VideoID,Start,End,WorkerID,Source,AnnotationTime,Language,Description
29,ZbzDGXEwtGc,6,15,550906,clean,24,English,a plane flying in the sky
30,ZbzDGXEwtGc,6,15,164462,clean,42,English,A commercial plane flying.
31,ZbzDGXEwtGc,6,15,155632,clean,51,English,A jet is flying.
32,ZbzDGXEwtGc,6,15,617730,clean,27,English,A large jet is flying through the sky.
33,ZbzDGXEwtGc,6,15,297776,clean,28,English,A passenger plane flies through the air.
34,ZbzDGXEwtGc,6,15,807872,clean,17,English,A plane flies through the air.
35,ZbzDGXEwtGc,6,15,825347,clean,11,English,A plane is flying in the air.
36,ZbzDGXEwtGc,6,15,922727,clean,18,English,A plane is flying.
37,ZbzDGXEwtGc,6,15,878566,clean,35,English,A South African Airways plane is flying in a blue sky.
38,ZbzDGXEwtGc,6,15,615204,clean,39,English,An aeroplane is flying in the air.
39,ZbzDGXEwtGc,6,15,280252,clean,41,English,An airplane is flying in the air.
40,ZbzDGXEwtGc,6,15,374994,clean,30,English,An airplane is flying in the clear sky.
41,ZbzDGXEwtGc,6,15,772960,clean,72,English,An airplane is flying in the sky.
42,ZbzDGXEwtGc,6,15,760882,clean,19,English,An airplane is flying.
43,ZbzDGXEwtGc,6,15,275759,clean,43,English,An airplane is flying.
44,ZbzDGXEwtGc,6,15,553931,clean,22,English,The plane flew in the sky.
45,ZbzDGXEwtGc,6,15,762891,clean,25,English,The plane is soaring through the air.
46,ZbzDGXEwtGc,6,15,309959,clean,24,English,The South African jet banked itself in the air.
47,ZbzDGXEwtGc,6,15,965612,unverified,86,English,The airplane is flying in air
48,ZbzDGXEwtGc,6,15,799001,unverified,27,English,An airplane flying.
49,ZbzDGXEwtGc,6,15,521022,unverified,42,English,A South African airplane flying sideways in the sky.
50,ZbzDGXEwtGc,6,15,807741,unverified,224,English,"the Avión, airplane is flying high in the sky."
51,ZbzDGXEwtGc,6,15,707318,unverified,11,English,A plane is flying.
52,ZbzDGXEwtGc,6,15,318570,unverified,155,English,An aeroplane flying in the sky.
53,ZbzDGXEwtGc,6,15,403763,unverified,103,English,An aeroplane is flying.
54,ZbzDGXEwtGc,6,15,829808,unverified,50,English,An aeroplane is flying.
55,ZbzDGXEwtGc,6,15,371782,unverified,208,English,A flight is flying in the sky.
56,ZbzDGXEwtGc,6,15,418656,unverified,69,English,A South African flight is flying.
57,ZbzDGXEwtGc,6,15,257511,unverified,59,English,An airplane is flying with blue sky in the background.
58,ZbzDGXEwtGc,6,15,497691,unverified,50,English,AEROPLANE IS FLING IN MID-AIR.
59,ZbzDGXEwtGc,6,15,741585,unverified,20,English,An Airplane is flying in the air.
60,ZbzDGXEwtGc,6,15,553878,unverified,312,English,South African aeroplane js moving in the air
61,ZbzDGXEwtGc,6,15,599728,unverified,157,English,a plane is flying in air
62,ZbzDGXEwtGc,6,15,373663,unverified,68,English,A commercial jet if flying
63,ZbzDGXEwtGc,6,15,919506,unverified,37,English,an airplane flying in the sky.
64,ZbzDGXEwtGc,6,15,705358,unverified,54,English,An airoplane is flying in the sky
65,ZbzDGXEwtGc,6,15,169072,unverified,83,English,A flight is flying.
66,ZbzDGXEwtGc,6,15,467982,unverified,79,English,A clip showing an south african airline plane flying in air.
67,ZbzDGXEwtGc,6,15,776761,unverified,37,English,A South African airplane is flying.
68,ZbzDGXEwtGc,6,15,394339,unverified,311,English,an airplane flying in the sky
69,ZbzDGXEwtGc,6,15,948158,unverified,35,English,An airplane is flying through the air.
70,ZbzDGXEwtGc,6,15,408179,unverified,18,English,An airplane is flying.
71,ZbzDGXEwtGc,6,15,974128,unverified,110,English,An plane is flying in the sky.
72,ZbzDGXEwtGc,6,15,130040,unverified,30,English,a flying airplane
73,ZbzDGXEwtGc,6,15,977945,unverified,261,English,A airplane in the air
74,ZbzDGXEwtGc,6,15,279187,unverified,157,English,A south american plane takes a turn in air.
75,ZbzDGXEwtGc,6,15,762891,unverified,16,English,The plane is soaring through the air.
76,ZbzDGXEwtGc,6,15,566596,unverified,103,English,An avion airoplane is flying
77,ZbzDGXEwtGc,6,15,750723,unverified,61,English,a aeroplane is flying
78,ZbzDGXEwtGc,6,15,963466,unverified,68,English,A plain is fly in the sky.
79,ZbzDGXEwtGc,6,15,857450,unverified,53,English,Avion airplane
180,04Gt01vatkk,248,265,550906,clean,33,English,A woman cuts an oion.
181,04Gt01vatkk,248,265,280252,clean,39,English,A girl is cutting an onion.
182,04Gt01vatkk,248,265,155632,clean,30,English,A girl is cutting an onion.
183,04Gt01vatkk,248,265,257003,clean,96,English,A girl is cutting onion into small pieces.
184,04Gt01vatkk,248,265,135141,clean,36,English,A girl is dicing up an onion.
185,04Gt01vatkk,248,265,295615,clean,57,English,A woman chops a white onion.
186,04Gt01vatkk,248,265,297776,clean,39,English,A woman cuts and dices an onion.
187,04Gt01vatkk,248,265,374994,clean,62,English,A woman is chopping an onion into small pieces.
188,04Gt01vatkk,248,265,772960,clean,128,English,A woman is chopping an onion slice into fine pieces.
189,04Gt01vatkk,248,265,625932,clean,59,English,A woman is cutting onions.
190,04Gt01vatkk,248,265,922727,clean,57,English,A woman is slicing a onion.
191,04Gt01vatkk,248,265,275759,clean,305,English,A Woman is slicing some vegetables.
192,04Gt01vatkk,248,265,159786,clean,1231,English,A woman slices an onion.
193,04Gt01vatkk,248,265,215924,clean,101,English,An onion is chopped up.
194,04Gt01vatkk,248,265,762891,clean,40,English,The cook is dicing onions.
195,04Gt01vatkk,248,265,553931,clean,19,English,The girl is slicing an onion.
196,04Gt01vatkk,248,265,371782,unverified,173,English,A woman is cutting the tomato into pieces
197,04Gt01vatkk,248,265,202380,unverified,45,English,A woman is slicing an onion.
198,04Gt01vatkk,248,265,120123,unverified,30,English,A young woman cutting an onion to make salsa.
199,04Gt01vatkk,248,265,978992,unverified,29,English,A girl is chopping onions.
200,04Gt01vatkk,248,265,169605,unverified,12,English,A girl is slicing an onion.
201,04Gt01vatkk,248,265,748930,unverified,88,English,A lady is chopping onions.
202,04Gt01vatkk,248,265,807872,unverified,23,English,A woman cuts an onion.
203,04Gt01vatkk,248,265,488402,unverified,41,English,A woman cutting an onion.
204,04Gt01vatkk,248,265,132126,unverified,58,English,A woman in a red dress chopping tomatoes.
205,04Gt01vatkk,248,265,760882,unverified,145,English,A woman is chopping onions.
206,04Gt01vatkk,248,265,214410,unverified,33,English,A woman is chopping onions.
207,04Gt01vatkk,248,265,994422,unverified,19,English,A woman is chopping up onions.
208,04Gt01vatkk,248,265,651813,unverified,10,English,A woman is cutting an onion.
209,04Gt01vatkk,248,265,844963,unverified,64,English,A woman is cutting onions.
210,04Gt01vatkk,248,265,682611,unverified,16,English,A woman is dicing an onion.
211,04Gt01vatkk,248,265,252681,unverified,18,English,A woman is dicing an onion.
212,04Gt01vatkk,248,265,406601,unverified,790,English,A woman is slicing a salsa.
213,04Gt01vatkk,248,265,502429,unverified,232,English,A woman is slicing an onion.
214,04Gt01vatkk,248,265,435773,unverified,18,English,A woman is slicing an onion.
215,04Gt01vatkk,248,265,617730,unverified,33,English,A woman is slicing and chopping up an onion.
216,04Gt01vatkk,248,265,825347,unverified,16,English,A woman is slicing and dicing an onion
217,04Gt01vatkk,248,265,443302,unverified,469,English,A woman is slicing some tomatoes.
218,04Gt01vatkk,248,265,124709,unverified,61,English,A woman is slicing some vegetables
219,04Gt01vatkk,248,265,130040,unverified,57,English,A woman is slicing some vegitable.
220,04Gt01vatkk,248,265,668575,unverified,67,English,A woman is slicing then dicing an onion
221,04Gt01vatkk,248,265,169072,unverified,52,English,A woman is slicing vegetables.
222,04Gt01vatkk,248,265,309959,unverified,17,English,The girl sliced an onion.
223,04Gt01vatkk,248,265,553931,unverified,17,English,The girl sliced an onion.
224,04Gt01vatkk,248,265,411294,unverified,16,English,The lady is slicing onions.
225,04Gt01vatkk,248,265,762891,unverified,28,English,The woman is dicing an onion.
226,04Gt01vatkk,248,265,469096,unverified,15,English,Woman teaches on how to cook salsa.
227,04Gt01vatkk,248,265,519427,unverified,116,English,A lady is cutting onion with the knife.
289,M_TP6UTrh30,343,358,374994,clean,37,English,A band is performing for a large crowd.
